1	"id"	"hs02"	"name"
2	"0101"	"01"	"Live animals"
3	"010101"	"0101"	"Live horses, asses, mules and hinnies."
4	"01010110"	"010110"	"Live horses/asses/mules/hinnies: pure-bred breeding animals"
5	"01010190"	"010190"	"Live horses/asses/mules/hinnies other than pure-bred breeding animals"
6	"010102"	"0102"	"Live bovine animals."
7	"01010210"	"010210"	"Live bovine animals: pure-bred breeding animals"
8	"01010290"	"010290"	"Live bovine animals other than pure-bred breeding animals"
9	"010103"	"0103"	"Live swine."
10	"01010310"	"010310"	"Live swine: pure-bred breeding animals"
11	"01010391"	"010391"	"Live swine other than pure-bred breeding animals, weighing < 50kg"
12	"01010392"	"010392"	"Live swine other than pure-bred breeding animals, weighing 50kg/more"
13	"010104"	"0104"	"Live sheep and goats."
14	"01010410"	"010410"	"Live sheep"
15	"01010420"	"010420"	"Live goats"
16	"010105"	"0105"	"Live poultry"
17	"01010511"	"010511"	"Live fowls of species Gallus domesticus, weighing not >185g"
18	"01010512"	"010512"	"Live turkeys, weighing not >185g"
19	"01010519"	"010519"	"Live ducks/geese/guinea fowls, weighing not >185g"
20	"01010592"	"010592"	"Live fowls of species Gallus domesticus, weighing >185g but not >2000g"
21	"01010593"	"010593"	"Live fowls of species Gallus domesticus, weighing >2000g"
22	"01010599"	"010599"	"Live ducks/geese/turkeys/guinea fowls, weighing >185g"
23	"010106"	"0106"	"Other live animals."
24	"01010611"	"010611"	"Live primates"
25	"01010612"	"010612"	"Live whales/dolphins & porpoises (order Cetacea)/manatees & dugongs (order  ..."
26	"01010619"	"010619"	"Live mammals, n.e.s."
27	"01010620"	"010620"	"Live reptiles, incl. snakes & turtles"
28	"01010631"	"010631"	"Live birds of prey"
29	"01010632"	"010632"	"Live birds (order Psittaciformes), incl. parrots/parakeets/macaws/cockatoos ..."
30	"01010639"	"010639"	"Live birds (excl. of 0106.31 & 0106.32)"
31	"01010690"	"010690"	"Live animals, n.e.s."
32	"0102"	"02"	"Meat and edible meat offal"
33	"010201"	"0201"	"Meat of bovine animals, fresh or chilled."
34	"01020110"	"020110"	"Carcasses/half-carcasses of bovine animals, fresh/chilled"
35	"01020120"	"020120"	"Meat of bovine animals, fresh/chilled (excl. of 0201.10), bone-in"
36	"01020130"	"020130"	"Meat of bovine animals, fresh/chilled, boneless"
37	"010202"	"0202"	"Meat of bovine animals, frozen."
38	"01020210"	"020210"	"Carcasses/half-carcasses of bovine animals, frozen"
39	"01020220"	"020220"	"Meat of bovine animals, frozen (excl. of 0202.10), bone-in"
40	"01020230"	"020230"	"Meat of bovine animals, frozen, boneless"
41	"010203"	"0203"	"Meat of swine, fresh, chilled or frozen."
42	"01020311"	"020311"	"Carcasses/half-carcasses of swine, fresh/chilled"
43	"01020312"	"020312"	"Hams, shoulders & cuts thereof , fresh/chilled, bone-in"
44	"01020319"	"020319"	"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ..."
45	"01020321"	"020321"	"Carcasses/half-carcasses of swine, frozen"
46	"01020322"	"020322"	"Hams, shoulders & cuts thereof , frozen, bone-in"
47	"01020329"	"020329"	"Meat of swine (excl. carcasses/half-carcasses/hams/shoulders & cuts thereof ..."
48	"010204"	"0204"	"Meat of sheep or goats, fresh, chilled or frozen."
49	"01020410"	"020410"	"Carcasses/half-carcasses of lamb, fresh/chilled"
50	"01020421"	"020421"	"Carcasses/half-carcasses of sheep (excl. lamb), fresh/chilled"
51	"01020422"	"020422"	"Meat of sheep (excl. lamb & carcasses), fresh/chilled, bone-in"
52	"01020423"	"020423"	"Meat of sheep (excl. lamb), fresh/chilled, boneless"
53	"01020430"	"020430"	"Carcasses/half-carcasses of lamb, frozen"
54	"01020441"	"020441"	"Carcasses/half-carcasses of sheep (excl. lamb), frozen"
55	"01020442"	"020442"	"Meat of sheep (excl. lamb & carcasses), frozen, bone-in"
56	"01020443"	"020443"	"Meat of sheep (excl. lamb), frozen, boneless"
57	"01020450"	"020450"	"Meat of goats, fresh/chilled/frozen"
58	"010205"	"0205"	"Meat of horses, asses, mules or hinnies, fresh, chilled or frozen."
59	"01020500"	"020500"	"Meat of horses/asses/mules/hinnies, fresh/chilled/frozen"
60	"010206"	"0206"	"Edible offal of bovine animals, swine, sheep, goats, horses, asses, mules"
61	"01020610"	"020610"	"Edible offal of bovine animals, fresh/chilled"
62	"01020621"	"020621"	"Tongues of bovine animals, frozen"
63	"01020622"	"020622"	"Livers of bovine animals, frozen"
64	"01020629"	"020629"	"Edible offal of bovine animals (excl. tongues & livers), frozen"
65	"01020630"	"020630"	"Edible offal of swine, fresh/chilled"
66	"01020641"	"020641"	"Livers of swine, frozen"
67	"01020649"	"020649"	"Edible offal of swine (excl. liver), frozen"
68	"01020680"	"020680"	"Edible offal, n.e.s., fresh/chilled"
69	"01020690"	"020690"	"Edible offal, n.e.s., frozen"
70	"010207"	"0207"	"Meat and edible offal, of the poultry of heading 01.05"
71	"01020711"	"020711"	"Meat of fowls of species Gallus domesticus, not cut in pieces, fresh/chille ..."
72	"01020712"	"020712"	"Meat of fowls of species Gallus domesticus, not cut in pieces, frozen"
73	"01020713"	"020713"	"Cuts & edible offal of species Gallus domesticus, fresh/chilled"
74	"01020714"	"020714"	"Cuts & edible offal of species Gallus domesticus, frozen"
75	"01020724"	"020724"	"Meat of turkeys, not cut in pieces, fresh/chilled"
76	"01020725"	"020725"	"Meat of turkeys, not cut in pieces, frozen"
77	"01020726"	"020726"	"Cuts & edible offal of turkey, fresh/chilled"
78	"01020727"	"020727"	"Cuts & edible offal of turkey, frozen"
79	"01020732"	"020732"	"Meat of ducks/geese/guinea fowls, not cut in pieces, fresh/chilled"
80	"01020733"	"020733"	"Meat of ducks/geese/guinea fowls, not cut in pieces, frozen"
81	"01020734"	"020734"	"Fatty livers of ducks/geese/guinea fowls, fresh/chilled"
82	"01020735"	"020735"	"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207 ..."
83	"01020736"	"020736"	"Meat & edible meat offal of ducks/geese/guinea fowls (excl. of 0207.32-0207 ..."
84	"010208"	"0208"	"Other meat and edible meat offal, fresh, chilled or frozen."
85	"01020810"	"020810"	"Meat & edible meat offal of rabbits/hares, fresh/chilled/frozen"
86	"01020820"	"020820"	"Frogs' legs, fresh/chilled/frozen"
87	"01020830"	"020830"	"Meat & edible meat offal of primates, fresh/chilled/frozen"
88	"01020840"	"020840"	"Meat & edible offal of whales, dolphins & porpoises (order Cetacea); of man ..."
89	"01020850"	"020850"	"Meat & edible offal of reptiles, incl. snakes & turtles, fresh/chilled/froz ..."
90	"01020890"	"020890"	"Meat & edible meat offal, n.e.s., fresh/chilled/frozen"
91	"010209"	"0209"	"Pig fat, free of lean meat, and poultry fat"
92	"01020900"	"020900"	"Pig fat (free of lean meat) & poultry fat (not rendered/othw. extracted), f ..."
93	"010210"	"0210"	"Meat and edible meat offal, salted, in brine, dried or smoked"
94	"01021011"	"021011"	"Hams, shoulders & cuts thereof , of swine, salted/in brine/dried/smoked, bo ..."
95	"01021012"	"021012"	"Bellies (streaky) & cuts thereof , of swine, salted/in brine/dried/smoked"
96	"01021019"	"021019"	"Meat of swine (excl. hams/shoulders & cuts thereof & bellies (streaky) & cu ..."
97	"01021020"	"021020"	"Meat of bovine animals, salted/in brine/dried/smoked"
98	"01021091"	"021091"	"Meat & edible meat offal of primates, salted/in brine/dried/smoked, incl. e ..."
99	"01021092"	"021092"	"Meat & edible meat offal of whales/dolphins/porpoises (order Cetacea)/manat ..."
100	"01021093"	"021093"	"Meat & edible meat offal of reptiles, incl. snakes & turtles, salted/in bri ..."
101	"01021099"	"021099"	"Meat & edible meat offal, n.e.s., salted/in brine/dried/smoked, incl. edibl ..."
102	"0103"	"03"	"Fish and crustaceans, molluscs and other aquatic invertebrates"
103	"010301"	"0301"	"Live fish."
104	"01030110"	"030110"	"Live ornamental fish"
105	"01030191"	"030191"	"Live trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apach ..."
106	"01030192"	"030192"	"Live eels (Anguilla spp.)"
107	"01030193"	"030193"	"Live carp"
108	"01030199"	"030199"	"Live fish, n.e.s."
109	"010302"	"0302"	"Fish, fresh or chilled, excluding fish fillets"
110	"01030211"	"030211"	"Trout (Salmo trutta, Oncorhynchus mykiss/clarki/aguabonita/gilae/apache/chr ..."
111	"01030212"	"030212"	"Pacific salmon/Atlantic salmon/Danube salmon [see list of conventions for s ..."
112	"01030219"	"030219"	"Salmonidae (excl. of 0302.11 & 0302.12; excl. fillets/oth. fish meat of 03. ..."
113	"01030221"	"030221"	"Halibut (Reinhardtius hippoglossoides, Hippoglossus hippoglossus/stenolepis ..."
